Unnamed: 0,Subject,Event,TrialN,mean_pupil,time
1,Subject_1,Simple,2,-0.0174519534436319,0
2,Subject_1,Simple,2,-0.0777901604429623,50
3,Subject_1,Simple,2,-0.134509737286571,100
4,Subject_1,Simple,2,-0.202054638549017,150
5,Subject_1,Simple,2,-0.279311834862652,200
6,Subject_1,Simple,2,-0.368727447577241,250
7,Subject_1,Simple,2,-0.467379047720827,300
8,Subject_1,Simple,2,-0.564279171114056,350
9,Subject_1,Simple,2,-0.664164481922831,400
10,Subject_1,Simple,2,-0.761516282753556,450
11,Subject_1,Simple,2,-0.867855131207216,500
12,Subject_1,Simple,2,-0.940717094413547,550
13,Subject_1,Simple,2,-0.990991606542751,600
14,Subject_1,Simple,2,-1.05998012967642,650
15,Subject_1,Simple,2,-1.06637331385795,700
16,Subject_1,Simple,2,-1.11453790072319,750
17,Subject_1,Simple,2,-1.11955638931356,800
18,Subject_1,Simple,2,-1.0935590845772,850
19,Subject_1,Simple,2,-1.06034534226309,900
20,Subject_1,Simple,2,-1.02713159994898,950
21,Subject_1,Simple,2,-0.993917857634879,1000
22,Subject_1,Simple,2,-0.960704115320773,1050
23,Subject_1,Simple,2,-0.927490373006667,1100
24,Subject_1,Simple,2,-0.852197537279686,1150
25,Subject_1,Simple,2,-0.783089373283321,1200
26,Subject_1,Simple,2,-0.735968717037117,1250
27,Subject_1,Simple,2,-0.684764109434282,1300
28,Subject_1,Simple,2,-0.612695880640071,1350
29,Subject_1,Simple,2,-0.589955670628877,1400
30,Subject_1,Simple,2,-0.557344005539301,1450
31,Subject_1,Simple,2,-0.533832602682426,1500
32,Subject_1,Simple,2,-0.495021989955242,1550
33,Subject_1,Simple,2,-0.482648213234067,1600
34,Subject_1,Simple,2,-0.489220684100111,1650
35,Subject_1,Simple,2,-0.489220684100111,1700
36,Subject_1,Simple,2,-0.498524667252501,1750
37,Subject_1,Simple,2,-0.502738701854466,1800
38,Subject_1,Simple,2,-0.505698812429352,1850
39,Subject_1,Simple,2,-0.495415786215831,1900
40,Subject_1,Simple,2,-0.492998278593117,1950
41,Subject_1,Circle,3,0.0352248513556832,0
42,Subject_1,Circle,3,0.0618767648339684,50
43,Subject_1,Circle,3,0.159332774185459,100
44,Subject_1,Circle,3,0.209502356241104,150
45,Subject_1,Circle,3,0.302286278245033,200
